iter	Logloss
0	0.6865724446
1	0.6805407248
2	0.6743380434
3	0.6689691495
4	0.6627161664
5	0.6574712482
6	0.6526940108
7	0.6470864945
8	0.6420891656
9	0.6376640519
10	0.6329973243
11	0.6280885957
12	0.6237246262
13	0.6186589236
14	0.613236424
15	0.608545188
16	0.6044911614
17	0.600389547
18	0.5964142293
19	0.5926874298
20	0.5888180616
21	0.5855045124
22	0.5813725382
23	0.5778362358
24	0.5742703816
25	0.5702576227
26	0.5667001036
27	0.5626738154
28	0.5590490231
29	0.5560400807
30	0.5535310476
31	0.5503896087
32	0.5471073286
33	0.5445187055
34	0.5415903644
35	0.5390386109
36	0.5363560444
37	0.5334608198
38	0.5303630778
39	0.5273264067
40	0.5249693451
41	0.5228501788
42	0.5206331264
43	0.5176286995
44	0.5164994459
45	0.5145850631
46	0.5124758485
47	0.5099027443
48	0.5075709859
49	0.5053600389
50	0.5032921651
51	0.5014593852
52	0.499437416
53	0.4977322822
54	0.4967104987
55	0.4946986758
56	0.4927091412
57	0.4909843243
58	0.489867785
59	0.4885003041
60	0.4864343364
61	0.484704229
62	0.4834675061
63	0.4825813781
64	0.4810604539
65	0.4795775966
66	0.4775797712
67	0.4759827756
68	0.4742743435
69	0.4727159322
70	0.4712850896
71	0.469820013
72	0.4683412522
73	0.4666259134
74	0.4656351087
75	0.4638642832
76	0.4623161266
77	0.4603677932
78	0.4594994137
79	0.4583353138
80	0.4567693027
81	0.4557265463
82	0.4541689855
83	0.4532288767
84	0.4517174153
85	0.4507078849
86	0.4493051883
87	0.4480940141
88	0.4470010119
89	0.4459279357
90	0.4447864974
91	0.4435823372
92	0.442650397
93	0.442238707
94	0.4411906034
95	0.4402811569
96	0.4396001416
97	0.4384435935
98	0.4373241421
99	0.435918428
100	0.4350159702
101	0.4342154959
102	0.4330080823
103	0.4322094991
104	0.4314041307
105	0.4309283974
106	0.4299995509
107	0.4296200659
108	0.4289062427
109	0.4279295535
110	0.4272490253
111	0.4264381156
112	0.4256737576
113	0.4248597578
114	0.424153822
115	0.423215551
116	0.4229986127
117	0.4222409322
118	0.4213841548
119	0.4206108665
120	0.4203899274
121	0.4197953617
122	0.4190858352
123	0.4186095969
124	0.4179287838
125	0.4171682708
126	0.4165434307
127	0.415608337
128	0.4146535488
129	0.4141061616
130	0.4137681502
131	0.4130740501
132	0.412644498
133	0.4121805249
134	0.4114020804
135	0.4109358102
136	0.4101665049
137	0.4096063412
138	0.4090800752
139	0.4083629887
140	0.4079463801
141	0.4074561056
142	0.4068744904
143	0.4063768242
144	0.4059300472
145	0.405201612
146	0.4047098012
147	0.4042454339
148	0.4035982028
149	0.4030574041
150	0.4026932172
151	0.4020737743
152	0.4015527763
153	0.4009268903
154	0.4004091722
155	0.4002798419
156	0.3999301347
157	0.3995501864
158	0.3988953669
159	0.3985731617
160	0.3979268426
161	0.3976234578
162	0.3970962861
163	0.3969004032
164	0.3964797167
165	0.3960186016
166	0.3953409149
167	0.3949971166
168	0.3946289108
169	0.3940038701
170	0.3934549699
171	0.3928111417
172	0.3923679989
173	0.3919996578
174	0.3919264093
175	0.3913963358
176	0.3910044768
177	0.3906059157
178	0.390213548
179	0.3898429921
180	0.3894892855
181	0.3893436348
182	0.3889011581
183	0.3886693268
184	0.3882932521
185	0.3880307575
186	0.3876947653
187	0.38722863
188	0.3868396301
189	0.3866047015
190	0.3865953892
191	0.3864619421
192	0.3861509785
193	0.3857606382
194	0.3853677498
195	0.3849704375
196	0.3849276382
197	0.3846138405
198	0.384211682
199	0.3839296367
200	0.3834733766
201	0.3830632941
202	0.3827960102
203	0.3825987171
204	0.3824535153
205	0.3821462008
206	0.3819000148
207	0.3814969585
208	0.3810371044
209	0.3809973697
210	0.3805652292
211	0.3804456745
212	0.3800952667
213	0.3800205016
214	0.3796752506
215	0.3793867202
216	0.3790631293
217	0.3787846194
218	0.3784486253
219	0.3783401973
220	0.3783007603
221	0.3779135327
222	0.3775070429
223	0.3772516762
224	0.3770184574
225	0.3768070011
226	0.3764393392
227	0.375999408
228	0.3757555245
229	0.3757253657
230	0.3753035422
231	0.3749643549
232	0.3747199713
233	0.3744908817
234	0.3741275917
235	0.3736644747
236	0.373265281
237	0.3730519017
238	0.372553031
239	0.372372533
240	0.3721428651
241	0.3721402023
242	0.3718024649
243	0.3714152901
244	0.3712390788
245	0.3709395425
246	0.3709026607
247	0.3705471304
248	0.3703634157
249	0.3702898865
250	0.3702266089
251	0.3699188372
252	0.3695574195
253	0.3693966987
254	0.3692108106
255	0.3690219149
256	0.3688901589
257	0.3686081084
258	0.3682918916
259	0.3679280197
260	0.3677258407
261	0.3673716413
262	0.3670481246
263	0.3668506105
264	0.3666544
265	0.3664686689
266	0.36616658
267	0.3659555798
268	0.3657665818
269	0.3654600647
270	0.3652576447
271	0.3651653396
272	0.3648877814
273	0.3647067625
274	0.3644493869
275	0.36428292
276	0.3639434637
277	0.3637967791
278	0.3637124078
279	0.3635398526
280	0.3635079303
281	0.3631738223
282	0.3630197975
283	0.362833023
284	0.3627229994
285	0.3625467668
286	0.3623614336
287	0.3622246662
288	0.3622005625
289	0.3620108456
290	0.3618843875
291	0.3617582802
292	0.3615169706
293	0.3612383027
294	0.3608671617
295	0.3606911405
296	0.3604980209
297	0.3604816729
298	0.3604318864
299	0.3603515621
300	0.3601966479
301	0.3599613133
302	0.3598032224
303	0.3596810618
304	0.3596220372
305	0.3593819624
306	0.3593323521
307	0.3591755492
308	0.3589550658
309	0.3588287441
310	0.3586594531
311	0.3584009854
312	0.3583314075
313	0.3581341215
314	0.3578537429
315	0.3577009967
316	0.3576388543
317	0.3574183194
318	0.3573294804
319	0.3572886479
320	0.3571404099
321	0.356998852
322	0.3568178779
323	0.3567322739
324	0.3565899517
325	0.3565004166
326	0.3562324226
327	0.3558756822
328	0.3553960073
329	0.355269446
330	0.3552617746
331	0.3550249213
332	0.355014354
333	0.3549064185
334	0.3546592059
335	0.3544924748
336	0.3544647224
337	0.3543671563
338	0.3542009345
339	0.3540891729
340	0.3540137456
341	0.3537928531
342	0.3535594129
343	0.3532373453
344	0.3530421987
345	0.3527328288
346	0.3527007159
347	0.3524077046
348	0.3521446285
349	0.352133218
350	0.3517682288
351	0.3517265813
352	0.351556551
353	0.3515434016
354	0.3514725707
355	0.3513008901
356	0.3511804899
357	0.3511034919
358	0.3508488779
359	0.3506390804
360	0.350550709
361	0.3505317824
362	0.350428592
363	0.3503022203
364	0.3502059251
365	0.3499203995
366	0.3498410444
367	0.3497899879
368	0.3495125757
369	0.3493856019
370	0.3492357653
371	0.349010267
372	0.3488295991
373	0.3487901759
374	0.3487347307
375	0.348593324
376	0.34857068
377	0.3483728574
378	0.3482545942
379	0.3481002528
380	0.3480480604
381	0.3478348101
382	0.3477346629
383	0.3476419414
384	0.3474370158
385	0.3471470339
386	0.3468536407
387	0.3467589772
388	0.3466603423
389	0.3466512788
390	0.346612127
391	0.3465983293
392	0.3463456261
393	0.3462786947
394	0.3461820269
395	0.3460823769
396	0.3460108031
397	0.3458892083
398	0.3457798626
399	0.3456465055
400	0.3454862831
401	0.3452971864
402	0.3450353793
403	0.3448759446
404	0.3448648731
405	0.3447054063
406	0.344361997
407	0.3443404252
408	0.3442379287
409	0.3441651412
410	0.3440437696
411	0.3440179885
412	0.3439414748
413	0.3437946254
414	0.3437403349
415	0.3436111749
416	0.3434473957
417	0.3432398561
418	0.3431198734
419	0.343049767
420	0.3428711963
421	0.3428290535
422	0.34265684
423	0.3426473749
424	0.3424214427
425	0.3421773397
426	0.3421680375
427	0.342124023
428	0.3417756609
429	0.3415505142
430	0.3414331174
431	0.3413021056
432	0.3412185563
433	0.3410490998
434	0.3409313225
435	0.3406291918
436	0.3404461722
437	0.3402607246
438	0.3400113062
439	0.3398472076
440	0.3396148444
441	0.3395820273
442	0.3395066594
443	0.3394893262
444	0.3392929939
445	0.3392479955
446	0.3391026244
447	0.3390316802
448	0.3389697924
449	0.3388577186
450	0.3387037979
451	0.3385581332
452	0.3383933106
453	0.338356408
454	0.3381563502
455	0.3380565972
456	0.3379250919
457	0.3377773339
458	0.3377246001
459	0.337642082
460	0.3374822573
461	0.3372639389
462	0.3372018614
463	0.3371254206
464	0.3369165024
465	0.3367881313
466	0.3367143468
467	0.3364970036
468	0.3363798238
469	0.3363219727
470	0.3361528825
471	0.3359790644
472	0.3357844787
473	0.3356738193
474	0.3355263844
475	0.3354379899
476	0.3351538899
477	0.3350631348
478	0.3349321323
479	0.3348737513
480	0.3347876222
481	0.3346405738
482	0.3343706927
483	0.3342827051
484	0.3340703947
485	0.3339949199
486	0.3338606021
487	0.3336326661
488	0.3335051676
489	0.3334301057
490	0.3332644438
491	0.3332489658
492	0.3329801521
493	0.3328459573
494	0.3327630553
495	0.332703086
496	0.3324144933
497	0.332304727
498	0.3322521631
499	0.3321171983
500	0.3318903145
501	0.3318152782
502	0.3317599395
503	0.3316831376
504	0.3315390691
505	0.3314571621
506	0.3312906482
507	0.3311969505
508	0.33109296
509	0.331025281
510	0.3310170679
511	0.3307582806
512	0.3307524325
513	0.3306884906
514	0.3306354979
515	0.330513385
516	0.3304780495
517	0.3304560172
518	0.3303691413
519	0.3302512873
520	0.3302394574
521	0.3301771254
522	0.330161554
523	0.3300500738
524	0.3299422988
525	0.3295984477
526	0.3295589944
527	0.3294596748
528	0.3293608777
529	0.3292438169
530	0.3291971586
531	0.3291088723
532	0.3290682318
533	0.3288688579
534	0.328752702
535	0.3285796579
536	0.3284897349
537	0.3284034439
538	0.3283744706
539	0.32831428
540	0.3282929451
541	0.3280797807
542	0.3279430116
543	0.3278464449
544	0.3277759497
545	0.3275985614
546	0.3274861429
547	0.3272945733
548	0.3272658048
549	0.3271819981
550	0.3270825403
551	0.3268701931
552	0.3267577298
553	0.3265405004
554	0.3264636298
555	0.326371222
556	0.3263350132
557	0.3263106745
558	0.3260815288
559	0.3259683453
560	0.3259683452
561	0.3258798373
562	0.3257880056
563	0.3256961136
564	0.3255490276
565	0.3254319083
566	0.3253313538
567	0.3251311952
568	0.3250736179
569	0.3248911187
570	0.3248659667
571	0.3247346626
572	0.3247264998
573	0.3245993209
574	0.3244547757
575	0.3243938125
576	0.3242875353
577	0.3242345187
578	0.3240085508
579	0.3239376176
580	0.3238266197
581	0.3237583136
582	0.3236698483
583	0.3234709833
584	0.3232865944
585	0.3230578363
586	0.3230367257
587	0.3228459935
588	0.3227642637
589	0.322553103
590	0.3223393217
591	0.3222762972
592	0.3222458373
593	0.3220871799
594	0.3219263045
595	0.3217485107
596	0.3216972376
597	0.3215702541
598	0.3215702523
599	0.32152947
600	0.3213942362
601	0.3213933282
602	0.3211533104
603	0.3211459985
604	0.3209866298
605	0.3208815766
606	0.3206787933
607	0.3204685823
608	0.3203792449
609	0.3202843689
610	0.3201309773
611	0.3199721629
612	0.3198772636
613	0.3197686353
614	0.3196774451
615	0.3196765923
616	0.3195913657
617	0.3195226328
618	0.3193048685
619	0.31926858
620	0.3191449498
621	0.3190110854
622	0.3189295317
623	0.3188237877
624	0.3186621806
625	0.318583493
626	0.3185762128
627	0.3184464346
628	0.3184130659
629	0.3183182712
630	0.318129796
631	0.3181142283
632	0.3180811512
633	0.3178734393
634	0.3176508412
635	0.3175503284
636	0.3174720825
637	0.3174073037
638	0.3173888009
639	0.3173331027
640	0.317194528
641	0.3170390317
642	0.3170225797
643	0.3169262745
644	0.3167911544
645	0.3166764138
646	0.3166369266
647	0.3165029383
648	0.3161731239
649	0.3160531787
650	0.3159207476
651	0.3158594226
652	0.3157199866
653	0.3155693694
654	0.315462594
655	0.3152850368
656	0.3152188956
657	0.3150616626
658	0.3149991598
659	0.3149313892
660	0.3147884528
661	0.3147107939
662	0.3146457116
663	0.314457246
664	0.3143526739
665	0.3141294064
666	0.3140511827
667	0.3139773899
668	0.3139135242
669	0.3138605917
670	0.313842767
671	0.3136900601
672	0.3136357441
673	0.3135452369
674	0.3134956887
675	0.313425002
676	0.3134188484
677	0.313343348
678	0.313311979
679	0.313265424
680	0.3131067283
681	0.3130895773
682	0.3130113643
683	0.3128474714
684	0.3126937577
685	0.3125428335
686	0.3124378252
687	0.3123955203
688	0.3123330847
689	0.3121987344
690	0.3121928529
691	0.3121241359
692	0.3120361268
693	0.3119738258
694	0.3116782706
695	0.3115178827
696	0.3114965465
697	0.3113371431
698	0.3112470571
699	0.3110497683
700	0.3110186309
701	0.3108236605
702	0.3107492095
703	0.3106650613
704	0.3105789107
705	0.3105605196
706	0.3103933329
707	0.3103125412
708	0.3102258431
709	0.3101361962
710	0.3100962751
711	0.3100086721
712	0.3099546402
713	0.3098490917
714	0.3097013625
715	0.3095825655
716	0.3094817616
717	0.3094153379
718	0.3092911356
719	0.3091846417
720	0.3091367034
721	0.3091223577
722	0.3090103254
723	0.3090042134
724	0.3089451868
725	0.308803693
726	0.3086752163
727	0.3084804058
728	0.3083354917
729	0.3081368843
730	0.3080564954
731	0.3080362523
732	0.3078790308
733	0.307805328
734	0.3077354039
735	0.3076009181
736	0.3074493494
737	0.3073826088
738	0.3073774926
739	0.3072497038
740	0.3072267574
741	0.3071839527
742	0.3071326938
743	0.3070492292
744	0.307040043
745	0.3068874779
746	0.306776287
747	0.3067296899
748	0.3067112467
749	0.3066251821
750	0.3065676086
751	0.3064709761
752	0.3063993134
753	0.3063945736
754	0.3063038134
755	0.3062900615
756	0.3061727293
757	0.3061680271
758	0.306146982
759	0.3061027492
760	0.3059966558
761	0.3058865331
762	0.3057973366
763	0.3055525999
764	0.3055492809
765	0.3055199174
766	0.3054120062
767	0.3052098303
768	0.3051144246
769	0.3049852099
770	0.3048212019
771	0.3047647469
772	0.3046774484
773	0.3045448404
774	0.3043826205
775	0.3042099869
776	0.3041801513
777	0.3039705451
778	0.3038356907
779	0.3038312044
780	0.3036815135
781	0.3035177229
782	0.3034601759
783	0.303393316
784	0.3033211641
785	0.3031652218
786	0.3030539009
787	0.3029990587
788	0.3028944556
789	0.3028789462
790	0.3024685474
791	0.3023691718
792	0.3023472396
793	0.3022918827
794	0.302145769
795	0.3020282077
796	0.3020240414
797	0.3020199172
798	0.3019061472
799	0.3016827162
800	0.3016075556
801	0.3015199797
802	0.3014661251
803	0.3014093548
804	0.3013673389
805	0.3012168695
806	0.301136863
807	0.3010699431
808	0.300948808
809	0.3009101899
810	0.300820254
811	0.300610905
812	0.3004612712
813	0.3004342755
814	0.3003094224
815	0.3001827131
816	0.3001136764
817	0.3000165286
818	0.2999442968
819	0.2998968556
820	0.2998100906
821	0.2997921013
822	0.2997116195
823	0.2996772323
824	0.2996062538
825	0.2995785215
826	0.2995657763
827	0.2994510343
828	0.2992045921
829	0.2991148959
830	0.2991112244
831	0.2990822372
832	0.2989591656
833	0.2988555621
834	0.2987972964
835	0.2987360607
836	0.2985558154
837	0.2984653916
838	0.2983910869
839	0.298347441
840	0.2983260951
841	0.2982511491
842	0.2981326664
843	0.2981004913
844	0.2978674029
845	0.2975880176
846	0.2974334772
847	0.297348837
848	0.2971974982
849	0.2971162125
850	0.2970671706
851	0.2969740884
852	0.2967432328
853	0.2965563945
854	0.2964898497
855	0.2963884485
856	0.2962576963
857	0.2960952844
858	0.2960243766
859	0.2959066855
860	0.2957122334
861	0.2955350142
862	0.2954061669
863	0.2952238198
864	0.2951680925
865	0.2949638782
866	0.294887026
867	0.2947738868
868	0.2946713348
869	0.2944813299
870	0.2943195011
871	0.2942700625
872	0.2942579398
873	0.2941651513
874	0.2940754289
875	0.2940055914
876	0.293942245
877	0.293909759
878	0.2937913078
879	0.2936991513
880	0.2936670803
881	0.2936192487
882	0.2936052658
883	0.2934911272
884	0.2933880263
885	0.2933548994
886	0.2933245263
887	0.2931362942
888	0.2931292134
889	0.2930926607
890	0.2928942177
891	0.2927426864
892	0.2926851117
893	0.2926226134
894	0.2925013612
895	0.2923154548
896	0.2921933219
897	0.2921376658
898	0.2920837433
899	0.2920486181
900	0.2919770608
901	0.2918847281
902	0.2918103819
903	0.2917430219
904	0.2916578594
905	0.2913948861
906	0.2913149769
907	0.2912289048
908	0.2911783543
909	0.291137607
910	0.2911164273
911	0.2911053126
912	0.2909993821
913	0.2908991804
914	0.2908672324
915	0.2908061787
916	0.2907821837
917	0.2906303432
918	0.2905409299
919	0.2904209028
920	0.2902857623
921	0.29016074
922	0.2900650399
923	0.2898831973
924	0.2897479961
925	0.2895920262
926	0.2895592191
927	0.2894743437
928	0.2893986554
929	0.2891999293
930	0.2891119153
931	0.2890935535
932	0.288882593
933	0.2888396174
934	0.2886940391
935	0.2886160062
936	0.2885094751
937	0.288397465
938	0.2882673481
939	0.2881504327
940	0.2880813868
941	0.28802927
942	0.2879597516
943	0.2878424828
944	0.2877560664
945	0.2875508623
946	0.2875322357
947	0.2873567965
948	0.2873106708
949	0.2871991581
950	0.2871611903
951	0.2871283652
952	0.2870310478
953	0.2869870246
954	0.2869641383
955	0.2867037339
956	0.2865865299
957	0.2864579861
958	0.2862996981
959	0.2862506043
960	0.2860931155
961	0.2859907133
962	0.2859413081
963	0.2858776405
964	0.285757361
965	0.2857149547
966	0.285678219
967	0.2855760575
968	0.2854772305
969	0.2853836021
970	0.2853005203
971	0.2852603596
972	0.2852098739
973	0.2850130602
974	0.284861704
975	0.2846379157
976	0.2845415258
977	0.2844182998
978	0.2842721435
979	0.2841229161
980	0.2840249662
981	0.2839871131
982	0.2839171686
983	0.2838037582
984	0.2837213778
985	0.2835817848
986	0.2834921674
987	0.2834444797
988	0.2833416139
989	0.2832562405
990	0.283176345
991	0.2830763852
992	0.2830447337
993	0.2828936355
994	0.2828677866
995	0.2828262818
996	0.2825830742
997	0.2824963168
998	0.282436617
999	0.2824238938
