iter	Logloss
0	0.6886485241
1	0.6837807779
2	0.6786053243
3	0.6738563903
4	0.6709447909
5	0.6663831333
6	0.6618398811
7	0.6568641756
8	0.6510498755
9	0.6478029809
10	0.6425907919
11	0.6380209205
12	0.6338701136
13	0.6293453039
14	0.6258701952
15	0.6215710064
16	0.6171005856
17	0.6130132451
18	0.6088411938
19	0.6056028712
20	0.6019362727
21	0.5999019675
22	0.5960889087
23	0.5939826299
24	0.5908369836
25	0.5869441092
26	0.5836989116
27	0.5805870177
28	0.5774717305
29	0.573854543
30	0.5708138068
31	0.5671982268
32	0.56417953
33	0.5610518981
34	0.5580019877
35	0.5555974936
36	0.5531565215
37	0.5500562434
38	0.5469942365
39	0.5446431192
40	0.5424355699
41	0.5401367135
42	0.5373036582
43	0.5344276233
44	0.53180403
45	0.5290596553
46	0.5270129701
47	0.5248755359
48	0.5224668858
49	0.5205526613
50	0.5184484404
51	0.5164979277
52	0.5149775432
53	0.513101833
54	0.5113041336
55	0.5094770526
56	0.5069469093
57	0.5051178891
58	0.5028468095
59	0.5011164561
60	0.4997931811
61	0.4985186476
62	0.4969774925
63	0.4955398617
64	0.4935572938
65	0.4921259274
66	0.4902589415
67	0.4886094626
68	0.4870413233
69	0.4850508257
70	0.4838523098
71	0.4825956078
72	0.481390494
73	0.4802246381
74	0.4790434418
75	0.4780569608
76	0.477101266
77	0.4764353469
78	0.4752924948
79	0.4739063643
80	0.4724036165
81	0.4713094009
82	0.4701533078
83	0.4690734124
84	0.4678312085
85	0.4666781943
86	0.465473433
87	0.4641626962
88	0.4630699013
89	0.46184625
90	0.4608660124
91	0.460356824
92	0.4590518627
93	0.4579069865
94	0.4566855999
95	0.4556580836
96	0.4546513622
97	0.4537281055
98	0.4525841747
99	0.4516343163
100	0.4508103093
101	0.4495759709
102	0.4485003326
103	0.4474095546
104	0.446277151
105	0.4455295924
106	0.4444220565
107	0.4438408446
108	0.4425820195
109	0.441429545
110	0.4406581857
111	0.4397305277
112	0.4388001358
113	0.4375950015
114	0.4371951905
115	0.436153099
116	0.4349036081
117	0.4340932512
118	0.4332930301
119	0.4324168233
120	0.4314705284
121	0.4309791814
122	0.4305448762
123	0.4295830325
124	0.4289317253
125	0.4281108299
126	0.4272279778
127	0.4266615272
128	0.4256434429
129	0.4249759478
130	0.4243209702
131	0.4237109814
132	0.4233472911
133	0.4224245363
134	0.4222922444
135	0.4216124234
136	0.4213994003
137	0.4207804631
138	0.4201863657
139	0.4195839374
140	0.4190692669
141	0.4185178829
142	0.4180093399
143	0.4176794789
144	0.4170527898
145	0.4168450074
146	0.4162715623
147	0.4156060382
148	0.4148370278
149	0.4146905804
150	0.4141922169
151	0.4136385566
152	0.4131357989
153	0.4125625323
154	0.4119222482
155	0.4114557939
156	0.4107507948
157	0.4100550374
158	0.4094486504
159	0.4088661327
160	0.4082724052
161	0.4074732423
162	0.4069183327
163	0.4063380832
164	0.4059739959
165	0.4053766193
166	0.4052729741
167	0.4043330694
168	0.4036718949
169	0.402991602
170	0.4025757367
171	0.4020269089
172	0.4016106898
173	0.4012395161
174	0.400788561
175	0.400238624
176	0.3996693297
177	0.3994055256
178	0.3989465772
179	0.3982473927
180	0.3975196495
181	0.397032081
182	0.3965503284
183	0.3960206259
184	0.3955546277
185	0.3949389306
186	0.3947317701
187	0.394076793
188	0.3936874677
189	0.3933660668
190	0.3929530278
191	0.3923858808
192	0.3919667561
193	0.391638592
194	0.3913395777
195	0.3908006764
196	0.3902261076
197	0.3898061037
198	0.389260316
199	0.3891670264
200	0.3886111765
201	0.3885668221
202	0.3881045234
203	0.3877996341
204	0.3877242003
205	0.3873042817
206	0.3868649465
207	0.3866400686
208	0.3861130658
209	0.3856152832
210	0.3852035445
211	0.3847625626
212	0.3843548336
213	0.3836827735
214	0.3835556523
215	0.3831166574
216	0.3827340994
217	0.3824748175
218	0.3818952447
219	0.3816337944
220	0.3815374808
221	0.3812576515
222	0.3808666888
223	0.3806982941
224	0.3803730064
225	0.3802022753
226	0.3799531077
227	0.3794860137
228	0.3793113785
229	0.3789805147
230	0.3787477424
231	0.378511918
232	0.3782542258
233	0.377957958
234	0.3775384634
235	0.3771569106
236	0.3767285704
237	0.3763115042
238	0.3760650987
239	0.3754268842
240	0.3750021833
241	0.3748470083
242	0.3745666441
243	0.3742781286
244	0.3742367354
245	0.3739781995
246	0.3736394887
247	0.3735684545
248	0.3733257549
249	0.372975757
250	0.3727618802
251	0.3723239978
252	0.3721825262
253	0.3717706559
254	0.3715373157
255	0.3711626088
256	0.3707186062
257	0.3703564268
258	0.3699534483
259	0.3695898741
260	0.3693250659
261	0.3691565826
262	0.3688721547
263	0.3685513756
264	0.3684671115
265	0.3682027449
266	0.3679453474
267	0.3676837784
268	0.3674057423
269	0.3670871097
270	0.3669728034
271	0.3666345603
272	0.3664314899
273	0.3662030762
274	0.3661365234
275	0.3656957633
276	0.3655332648
277	0.3654108018
278	0.3651216704
279	0.3649176542
280	0.3645393484
281	0.3643755279
282	0.3640474471
283	0.363809889
284	0.3636440076
285	0.3632680772
286	0.363005086
287	0.3626335196
288	0.3621209275
289	0.3620785963
290	0.3616469475
291	0.3614664542
292	0.3612006046
293	0.3611982083
294	0.3608659356
295	0.3607455817
296	0.3604232632
297	0.3602216547
298	0.3597892551
299	0.3594969634
300	0.3590792067
301	0.3586849781
302	0.3585998001
303	0.3583479475
304	0.3579981696
305	0.3578186446
306	0.3575508101
307	0.3575057302
308	0.3572773245
309	0.3570810227
310	0.3567334562
311	0.3562632908
312	0.3560536942
313	0.3557663611
314	0.355379213
315	0.3552723825
316	0.3549057945
317	0.354591885
318	0.3545866697
319	0.3544076665
320	0.3541336901
321	0.3539450695
322	0.3537029762
323	0.353626949
324	0.3534723574
325	0.3531239498
326	0.3529396519
327	0.352664726
328	0.3524710169
