iter	Passed	Remaining
0	35	35009
1	60	30408
2	79	26492
3	124	30970
4	132	26340
5	157	26134
6	191	27173
7	223	27652
8	259	28617
9	280	27748
10	303	27294
11	335	27581
12	380	28869
13	410	28936
14	446	29292
15	475	29238
16	506	29276
17	539	29443
18	578	29880
19	618	30316
20	637	29730
21	649	28852
22	686	29178
23	696	28318
24	725	28303
25	785	29430
26	818	29492
27	847	29411
28	881	29509
29	913	29525
30	939	29373
31	968	29306
32	999	29285
33	1051	29868
34	1105	30479
35	1161	31109
36	1191	31000
37	1230	31155
38	1260	31058
39	1282	30787
40	1308	30608
41	1334	30433
42	1361	30309
43	1387	30154
44	1428	30305
45	1450	30077
46	1478	29984
47	1528	30308
48	1562	30323
49	1596	30335
50	1632	30385
51	1670	30453
52	1692	30235
53	1721	30163
54	1756	30183
55	1781	30034
56	1804	29848
57	1830	29726
58	1858	29633
59	1883	29507
60	1913	29452
61	1949	29491
62	1982	29486
63	2015	29476
64	2047	29457
65	2099	29709
66	2118	29506
67	2161	29625
68	2192	29584
69	2222	29528
70	2251	29464
71	2272	29286
72	2300	29217
73	2328	29136
74	2360	29111
75	2383	28980
76	2417	28983
77	2431	28741
78	2453	28600
79	2504	28803
80	2550	28935
81	2584	28931
82	2615	28896
83	2643	28828
84	2676	28811
85	2711	28815
86	2748	28847
87	2778	28791
88	2806	28725
89	2836	28679
90	2864	28614
91	2873	28363
92	2906	28350
93	2938	28326
94	2970	28294
95	3003	28280
96	3031	28219
97	3064	28202
98	3090	28123
99	3114	28030
100	3135	27911
101	3160	27828
102	3194	27820
103	3225	27786
104	3258	27777
105	3292	27769
106	3331	27806
107	3360	27759
108	3393	27742
109	3425	27712
110	3458	27696
111	3492	27689
112	3526	27684
113	3564	27699
114	3579	27545
115	3602	27455
116	3628	27386
117	3655	27326
118	3685	27288
119	3716	27256
120	3766	27364
121	3803	27371
122	3817	27216
123	3843	27151
124	3869	27085
125	3901	27061
126	3931	27027
127	3964	27009
128	3995	26978
129	4029	26966
130	4063	26956
131	4089	26892
132	4104	26754
133	4135	26727
134	4167	26705
135	4193	26643
136	4204	26482
137	4247	26529
138	4276	26487
139	4320	26540
140	4350	26503
141	4379	26464
142	4410	26429
143	4429	26330
144	4457	26284
145	4480	26206
146	4508	26163
147	4541	26145
148	4571	26109
149	4587	25996
150	4620	25980
151	4649	25942
152	4679	25906
153	4705	25847
154	4737	25826
155	4779	25857
156	4808	25817
157	4837	25778
158	4878	25805
159	4911	25784
160	4935	25722
161	4968	25701
162	4998	25669
163	5024	25615
164	5051	25561
165	5087	25558
166	5098	25432
167	5130	25410
168	5165	25398
169	5191	25348
170	5221	25314
171	5254	25296
172	5309	25379
173	5354	25419
174	5415	25530
175	5441	25477
176	5466	25416
177	5492	25365
178	5523	25336
179	5557	25316
180	5586	25277
181	5612	25226
182	5649	25221
183	5678	25181
184	5703	25124
185	5730	25080
186	5762	25053
187	5791	25014
188	5841	25066
189	5885	25088
190	5948	25197
191	5985	25190
192	6020	25172
193	6053	25151
194	6081	25104
195	6108	25058
196	6133	25002
197	6166	24976
198	6200	24956
199	6228	24915
200	6263	24900
201	6274	24786
202	6307	24763
203	6333	24711
204	6340	24590
205	6365	24533
206	6398	24513
207	6425	24465
208	6455	24432
209	6485	24397
210	6510	24344
211	6541	24314
212	6575	24294
213	6610	24277
214	6655	24301
215	6690	24284
216	6720	24250
217	6749	24211
218	6775	24163
219	6794	24088
220	6812	24014
221	6840	23971
222	6867	23927
223	6897	23893
224	6931	23874
225	6958	23832
226	6998	23831
227	7031	23809
228	7060	23770
229	7087	23726
230	7119	23700
231	7149	23666
232	7178	23629
233	7204	23583
234	7233	23547
235	7262	23509
236	7290	23472
237	7316	23424
238	7347	23395
239	7379	23367
240	7408	23333
241	7446	23322
242	7481	23307
243	7515	23285
244	7530	23204
245	7562	23178
246	7594	23152
247	7620	23108
248	7654	23084
249	7691	23074
250	7735	23082
251	7769	23061
252	7802	23038
253	7833	23007
254	7868	22987
255	7902	22966
256	7938	22951
257	7972	22929
258	8005	22904
259	8042	22889
260	8088	22900
261	8120	22874
262	8154	22850
263	8183	22815
264	8214	22783
265	8241	22740
266	8268	22699
267	8298	22665
268	8326	22626
269	8352	22582
270	8381	22545
271	8408	22505
272	8435	22464
273	8470	22443
274	8487	22376
275	8518	22346
276	8570	22369
277	8614	22372
278	8642	22335
279	8665	22281
280	8688	22230
281	8723	22210
282	8757	22188
283	8803	22195
284	8838	22173
285	8873	22151
286	8904	22121
287	8930	22077
288	8957	22037
289	8969	21960
290	9000	21928
291	9032	21899
292	9065	21875
293	9079	21802
294	9112	21778
295	9139	21737
296	9174	21717
297	9232	21749
298	9259	21708
299	9296	21692
300	9324	21654
301	9358	21629
302	9374	21564
303	9402	21526
304	9435	21500
305	9467	21471
306	9497	21439
307	9511	21370
308	9543	21342
309	9577	21317
310	9633	21343
311	9661	21304
312	9694	21277
313	9721	21238
314	9749	21201
315	9778	21165
316	9806	21129
317	9853	21131
318	9868	21066
319	9896	21030
320	9925	20995
321	9953	20957
322	9977	20913
323	10008	20882
324	10052	20879
325	10083	20848
326	10115	20818
327	10175	20847
328	10208	20820
329	10239	20788
330	10271	20759
331	10293	20711
332	10323	20678
333	10353	20644
334	10411	20666
335	10440	20632
336	10483	20624
337	10509	20584
338	10519	20511
339	10546	20473
340	10572	20431
341	10637	20465
342	10684	20465
343	10715	20433
344	10745	20401
345	10779	20374
346	10819	20360
347	10829	20290
348	10855	20249
349	10878	20202
350	10906	20166
351	10931	20124
352	10961	20090
353	10982	20041
354	11011	20007
355	11044	19978
356	11069	19937
357	11083	19876
358	11115	19847
359	11143	19811
360	11168	19768
361	11182	19708
362	11210	19672
363	11241	19641
364	11269	19606
365	11284	19547
366	11311	19510
367	11332	19462
368	11358	19424
369	11387	19389
370	11424	19369
371	11454	19336
372	11488	19312
373	11518	19279
374	11547	19245
375	11576	19211
376	11585	19145
377	11613	19109
378	11642	19075
379	11668	19038
380	11696	19003
381	11735	18985
382	11767	18956
383	11779	18896
384	11815	18874
385	11830	18818
386	11871	18804
387	11902	18773
388	11928	18736
389	11956	18701
390	11965	18636
391	11992	18600
392	12017	18561
393	12040	18518
394	12070	18487
395	12097	18451
396	12138	18436
397	12169	18407
398	12179	18344
399	12183	18275
400	12219	18253
401	12246	18216
402	12274	18183
403	12305	18153
404	12335	18123
405	12364	18090
406	12395	18059
407	12427	18031
408	12458	18001
409	12468	17941
410	12492	17903
411	12521	17870
412	12584	17886
413	12614	17855
414	12658	17843
415	12687	17811
416	12719	17782
417	12767	17777
418	12777	17717
419	12811	17691
420	12837	17655
421	12869	17626
422	12893	17587
423	12917	17548
424	12943	17512
425	12973	17480
426	12998	17443
427	13021	17402
428	13050	17370
429	13081	17340
430	13117	17317
431	13144	17281
432	13175	17252
433	13205	17222
434	13232	17187
435	13258	17151
436	13291	17123
437	13317	17088
438	13344	17052
439	13372	17019
440	13399	16984
441	13425	16948
442	13453	16915
443	13503	16910
444	13547	16896
445	13587	16878
446	13615	16843
447	13640	16807
448	13667	16771
449	13697	16741
450	13727	16710
451	13758	16680
452	13785	16646
453	13813	16612
454	13843	16582
455	13872	16549
456	13901	16517
457	13934	16490
458	13964	16459
459	14004	16440
460	14034	16408
461	14063	16377
462	14094	16347
463	14127	16319
464	14158	16290
465	14205	16278
466	14247	16260
467	14265	16216
468	14294	16184
469	14340	16170
470	14357	16125
471	14362	16066
472	14392	16035
473	14417	15999
474	14443	15964
475	14460	15918
476	14489	15886
477	14520	15857
478	14558	15835
479	14595	15811
480	14627	15783
481	14635	15728
482	14668	15701
483	14699	15671
484	14728	15639
485	14759	15609
486	14790	15579
487	14822	15551
488	14853	15522
489	14893	15501
490	14923	15470
491	14955	15442
492	14989	15414
493	15017	15382
494	15052	15356
495	15099	15342
496	15126	15309
497	15152	15274
498	15175	15236
499	15203	15203
500	15230	15169
501	15264	15142
502	15310	15127
503	15339	15096
504	15372	15067
505	15403	15037
506	15448	15022
507	15477	14990
508	15507	14958
509	15535	14925
510	15570	14900
511	15594	14863
512	15624	14832
513	15637	14785
514	15667	14754
515	15691	14718
516	15717	14684
517	15738	14644
518	15770	14615
519	15800	14585
520	15827	14551
521	15851	14515
522	15875	14479
523	15905	14448
524	15942	14424
525	15988	14407
526	16019	14377
527	16053	14350
528	16088	14324
529	16126	14301
530	16160	14274
531	16195	14246
532	16225	14216
533	16272	14200
534	16306	14173
535	16346	14150
536	16380	14123
537	16426	14106
538	16461	14079
539	16497	14053
540	16532	14026
541	16567	13999
542	16608	13978
543	16632	13941
544	16668	13915
545	16704	13889
546	16741	13864
547	16765	13828
548	16776	13781
549	16810	13753
550	16852	13733
551	16876	13696
552	16920	13676
553	16947	13643
554	16979	13614
555	17012	13585
556	17058	13567
557	17090	13537
558	17115	13502
559	17145	13471
560	17178	13442
561	17216	13418
562	17244	13385
563	17267	13348
564	17306	13324
565	17343	13298
566	17374	13268
567	17389	13225
568	17399	13179
569	17427	13146
570	17443	13105
571	17475	13076
572	17505	13044
573	17544	13020
574	17578	12992
575	17614	12966
576	17638	12931
577	17646	12883
578	17674	12851
579	17706	12821
580	17738	12792
581	17770	12762
582	17792	12726
583	17815	12690
584	17865	12673
585	17903	12648
586	17931	12616
587	17971	12592
588	18005	12564
589	18032	12531
590	18049	12490
591	18086	12464
592	18111	12430
593	18150	12405
594	18179	12374
595	18221	12351
596	18259	12325
597	18295	12298
598	18326	12268
599	18343	12228
600	18372	12197
601	18397	12163
602	18436	12137
603	18471	12110
604	18510	12085
605	18542	12055
606	18567	12021
607	18599	11991
608	18627	11959
609	18686	11947
610	18720	11918
611	18748	11886
612	18776	11853
613	18805	11822
614	18835	11791
615	18861	11757
616	18894	11728
617	18911	11689
618	18946	11661
619	18992	11640
620	19036	11617
621	19066	11586
622	19111	11564
623	19146	11536
624	19167	11500
625	19194	11467
626	19226	11437
627	19273	11416
628	19309	11389
629	19339	11358
630	19369	11327
631	19422	11309
632	19475	11291
633	19508	11262
634	19543	11233
635	19563	11196
636	19586	11161
637	19618	11131
638	19651	11102
639	19686	11073
640	19720	11044
641	19756	11016
642	19801	10993
643	19814	10953
644	19847	10923
645	19875	10891
646	19905	10860
647	19934	10828
648	19963	10796
649	19995	10767
650	20028	10737
651	20058	10705
652	20083	10672
653	20108	10638
654	20132	10604
655	20155	10569
656	20166	10528
657	20187	10492
