iter	Logloss
0	0.6892031603
1	0.6850591649
2	0.6806879012
3	0.6761961651
4	0.6720667041
5	0.6670887777
6	0.6622784904
7	0.6571936961
8	0.6529423887
9	0.6490845701
10	0.6444284578
11	0.6403039018
12	0.6364276533
13	0.632950072
14	0.6289237445
15	0.6252960858
16	0.6208663618
17	0.6171935473
18	0.6134629845
19	0.6105469042
20	0.6073417169
21	0.6039246336
22	0.6004807581
23	0.5973792874
24	0.5936043281
25	0.5918504824
26	0.5883786226
27	0.5849313516
28	0.5815602765
29	0.5781711193
30	0.5751666058
31	0.5723034104
32	0.5691529419
33	0.5663649709
34	0.563867871
35	0.5606418599
36	0.5581526263
37	0.5553616832
38	0.5528397426
39	0.5503492455
40	0.548160346
41	0.5460885193
42	0.5446489948
43	0.5433540549
44	0.5408391092
45	0.5382434212
46	0.5355931992
47	0.5330785741
48	0.5308858074
49	0.5290127213
50	0.527109939
51	0.5252453793
52	0.5228734038
53	0.5204558199
54	0.5182319678
55	0.5163144367
56	0.5144955917
57	0.5127512286
58	0.5110601404
59	0.5091471949
60	0.5069358918
61	0.5054859044
62	0.503253455
63	0.5015434723
64	0.4998123809
65	0.498375267
66	0.4973837565
67	0.4959927987
68	0.4943429142
69	0.4925480483
70	0.491590523
71	0.4899583006
72	0.4886688148
73	0.4870783996
74	0.4863738211
75	0.4850278509
76	0.4835025668
77	0.4823193295
78	0.4808419613
79	0.4800549541
80	0.4783768137
81	0.4766248564
82	0.475419209
83	0.4736547449
84	0.4718869338
85	0.4701909322
86	0.468940748
87	0.4677181778
88	0.4660671842
89	0.4645537829
90	0.4637625721
91	0.4626238052
92	0.4615653288
93	0.460347915
94	0.4593002335
95	0.4582481971
96	0.4575368973
97	0.4564011446
98	0.4552153371
99	0.4542385821
100	0.4530181111
101	0.4522282657
102	0.4510309496
103	0.4498786146
104	0.4494578346
105	0.4484321329
106	0.4471268202
107	0.446338128
108	0.4452458978
109	0.4438768709
110	0.4431824252
111	0.4419906215
112	0.4412077068
113	0.4403180642
114	0.439795533
115	0.4387105555
116	0.4379760363
117	0.4371576038
118	0.4366110414
119	0.4356583777
120	0.4349646463
121	0.4339455858
122	0.4330918791
123	0.4322027824
124	0.4313798406
125	0.4304439201
126	0.4296739449
127	0.4289623439
128	0.4280677002
129	0.427199709
130	0.4264436473
131	0.4255534853
132	0.425025074
133	0.4242825024
134	0.4238095796
135	0.4231109111
136	0.4224252213
137	0.4217193081
138	0.4208758857
139	0.4201925541
140	0.4194264661
141	0.4185538962
142	0.4179739559
143	0.4169668126
144	0.4163347487
145	0.4156279695
146	0.4148495439
147	0.4142246099
148	0.4138668952
149	0.4135426283
150	0.4129598035
151	0.4122615084
152	0.4121013702
153	0.4119441795
154	0.411589684
155	0.4110163868
156	0.4102813976
157	0.4096563308
158	0.4091098986
159	0.4085281383
160	0.40786244
161	0.4073704607
162	0.4067676733
163	0.4065366023
164	0.4061134405
165	0.4056813557
166	0.4052680618
167	0.4047927357
168	0.4043175104
169	0.4038734298
170	0.4036386426
171	0.4032737669
172	0.4028286184
173	0.4023686975
174	0.4020450561
175	0.4016155172
176	0.4014834092
177	0.401001451
178	0.4005105544
179	0.4000031107
180	0.399498516
181	0.398897788
182	0.3984226223
183	0.3980357664
184	0.3978108127
185	0.3970492866
186	0.3968380722
187	0.3964122021
188	0.396076701
189	0.3960114313
190	0.3956538472
191	0.3950780061
192	0.3944274078
193	0.3940509092
194	0.393827572
195	0.3934846847
196	0.3931722148
197	0.3927302103
198	0.3922485614
199	0.3920591027
200	0.3919087479
201	0.3915314071
202	0.3911758379
203	0.3909011695
204	0.3904518104
205	0.390122558
206	0.3896969811
207	0.3895241064
208	0.3894303607
209	0.3890931379
210	0.3888581194
211	0.3885872221
212	0.3882883753
213	0.3878783683
214	0.3876593287
215	0.3873595501
216	0.387006883
217	0.3865991377
218	0.3862734006
219	0.3860049539
220	0.3857905595
221	0.3856093714
222	0.3851428383
223	0.3848240363
224	0.3842497432
225	0.3839067726
226	0.3834716396
227	0.383284079
228	0.3829900959
229	0.3828833741
230	0.3824785705
231	0.3822345351
232	0.3820127052
233	0.3817232965
234	0.3814804779
235	0.3811302992
236	0.3807916266
237	0.3806956116
238	0.3804722805
239	0.3800606164
240	0.3797779419
241	0.3793730324
242	0.3790762725
243	0.3786617898
244	0.3783650032
245	0.3781731572
246	0.3778856567
247	0.37751434
248	0.3772198229
249	0.3767171701
250	0.3763409146
251	0.3760553284
252	0.3757603574
253	0.3754584364
254	0.3753570126
255	0.3751022663
256	0.3748134241
257	0.3744817139
258	0.3741477766
259	0.3738783222
260	0.3737027783
261	0.3732977064
262	0.3732872277
263	0.3731278589
264	0.3731019948
265	0.3729112972
266	0.3726992622
267	0.3726951408
268	0.3725085102
269	0.37217189
270	0.3719056344
271	0.371530227
272	0.3712353394
273	0.3707406768
274	0.370523251
275	0.3703908268
276	0.3699379873
277	0.3696863579
278	0.3693383654
279	0.3690853185
280	0.3686118582
281	0.3686083719
282	0.3684218165
283	0.3682099453
284	0.3677060556
285	0.3673286341
286	0.3671441711
287	0.3669458333
288	0.3667556803
289	0.3664251442
290	0.3663165955
291	0.3659811018
292	0.3655506085
293	0.365270605
294	0.3651376973
295	0.3647695853
296	0.364406503
297	0.3644034275
298	0.3641004703
299	0.3639464332
300	0.3639160577
301	0.3639132663
302	0.3638108267
303	0.3638081103
304	0.3634825385
305	0.363332786
306	0.3631364504
307	0.3627577538
308	0.3625539204
309	0.3622451608
310	0.3621910657
311	0.36197436
312	0.3618749339
313	0.3617790907
314	0.3615674532
315	0.3613546957
316	0.361097947
317	0.3609723764
318	0.3609288249
319	0.3607331303
320	0.3605960107
321	0.3605937557
322	0.3604376842
323	0.3599613178
324	0.3598083313
325	0.3596673478
326	0.3595280526
327	0.3593250538
328	0.3589490064
329	0.3588422731
330	0.3587399857
331	0.358623121
332	0.3583345343
333	0.3579883829
334	0.3578559568
335	0.3575085659
336	0.3573383827
337	0.357060891
338	0.3567604742
339	0.3565404461
340	0.3562771195
341	0.3558950392
342	0.3557295488
343	0.3554886278
344	0.3553148154
345	0.3550967356
346	0.3548441397
347	0.3546694693
348	0.3543968725
349	0.354100328
350	0.3538875945
351	0.3535474515
352	0.3532847923
353	0.3530373844
354	0.3529402734
355	0.3527416105
356	0.3525197906
357	0.3523985308
358	0.3523597977
359	0.3522670053
360	0.3521195995
361	0.3518635426
362	0.3517204674
363	0.3516164455
364	0.3513804567
365	0.3512966254
366	0.3512492276
367	0.3511999745
368	0.350997109
369	0.3507981719
370	0.350617112
371	0.3504622462
372	0.3501936233
373	0.350044338
374	0.3497423938
375	0.3495321203
376	0.3492739269
377	0.3490789497
378	0.3489476169
379	0.3488457265
380	0.3487277044
381	0.3484445296
382	0.3482860544
383	0.3480200583
384	0.3478788311
385	0.3478783043
386	0.3477488389
387	0.3475279805
388	0.3474567387
389	0.3474334349
390	0.3472118105
391	0.3472113439
392	0.3471819035
393	0.3470701349
394	0.3468567607
395	0.3467575413
396	0.3466451418
397	0.3464264219
398	0.3463223392
399	0.346202545
400	0.3460711313
401	0.3459525472
402	0.3458259099
403	0.3457510565
404	0.3456813318
405	0.3456774109
406	0.3454813513
407	0.345262266
408	0.3450687228
409	0.3449182747
410	0.3447278252
411	0.3445237379
412	0.3444468346
413	0.3443746332
414	0.3441523785
415	0.3438909566
416	0.3437057139
417	0.3435675886
418	0.3434230706
419	0.3433645624
420	0.3433358904
421	0.3431850879
422	0.3431775817
423	0.3431111214
424	0.3427516716
425	0.3425404809
426	0.3423635485
427	0.3421834159
428	0.3420929306
429	0.3419633903
430	0.3418665773
431	0.3417724444
432	0.3416344967
433	0.3414556157
434	0.3412002234
435	0.3409089657
436	0.3408600191
437	0.3408458225
438	0.3407247637
439	0.3406673756
440	0.3405674258
441	0.3403566467
442	0.3401189936
443	0.3398324424
444	0.3396661743
445	0.3394352733
446	0.3392830862
447	0.3392004992
448	0.3391512531
449	0.3389809272
450	0.3388508608
451	0.3387789612
452	0.3384453545
453	0.3382819589
454	0.3382219336
455	0.3380339916
456	0.3377998609
457	0.3377981422
458	0.337761096
459	0.3376642314
460	0.3375865859
461	0.337530882
462	0.3374217097
463	0.3372600797
464	0.3370503128
465	0.3367348794
466	0.3365145941
467	0.3363504888
468	0.3362815928
469	0.3360858676
470	0.335956821
471	0.335701314
472	0.33544925
473	0.3353169953
474	0.3352222156
475	0.3350396925
476	0.3349100785
477	0.3349100783
478	0.3347076258
479	0.3346612165
480	0.3344538039
481	0.3344123977
482	0.334355462
483	0.3341621664
484	0.3340068933
485	0.3337951728
486	0.3336472147
487	0.3335574189
488	0.3335489092
489	0.3334525419
490	0.3331969563
491	0.3331480288
492	0.3329720345
493	0.3329498936
494	0.3327250688
495	0.3324944605
496	0.3324805737
497	0.3323721002
498	0.3322421243
499	0.3321389965
500	0.3321231888
501	0.332024709
502	0.3320196715
503	0.3318457702
504	0.3317599899
505	0.3315669499
506	0.3315652225
507	0.3313183722
508	0.3311004004
509	0.3310577429
510	0.3308239787
511	0.3307083466
512	0.3307083463
513	0.330520757
514	0.3302598064
515	0.3300034711
516	0.3298476194
517	0.3297851758
518	0.3296142795
519	0.329380192
520	0.3292049644
521	0.3290838487
522	0.3289588176
523	0.3289506613
524	0.3288296952
525	0.3288278833
526	0.3286686289
527	0.3285777342
528	0.3284830115
529	0.3283767309
530	0.3282939384
531	0.3280856712
532	0.3279150325
533	0.3277029033
534	0.3276048007
535	0.3272161317
536	0.3270279678
537	0.3269581706
538	0.3267300277
539	0.3267105479
540	0.3264420388
541	0.3262017043
542	0.3261489173
543	0.3260164464
544	0.3258807805
545	0.3257026051
546	0.3256770995
547	0.3256367916
548	0.3255368221
549	0.3254154331
550	0.3251282419
551	0.3249971944
552	0.3249843703
553	0.3248010467
554	0.3245446003
555	0.3244167482
556	0.324286802
557	0.3242851045
558	0.3241986924
559	0.3241970333
560	0.324037637
561	0.3239813896
562	0.3238130612
563	0.3236224418
564	0.3234674471
565	0.3233698731
566	0.3233698403
567	0.3232710682
568	0.3232023486
569	0.3230461392
570	0.322888707
571	0.3227068909
572	0.3226294691
573	0.3224524477
574	0.3224172704
575	0.3223101563
576	0.3222172711
577	0.3220813448
578	0.3218983449
579	0.3218854984
580	0.3217528004
581	0.3217033582
582	0.3214480084
583	0.3212942023
584	0.3211216276
585	0.3209973868
586	0.3208706433
587	0.3208669547
588	0.3207833385
589	0.3205832781
590	0.3203719048
591	0.3203661772
592	0.3200862628
593	0.3199197683
594	0.3198154875
595	0.319670803
596	0.3194159321
597	0.3192985486
598	0.3189646405
599	0.3188154186
600	0.3186843443
601	0.3185120489
602	0.3183132991
603	0.3182758286
604	0.3181260332
605	0.3180390306
606	0.3179145919
607	0.3178606603
608	0.3178590758
609	0.3178484397
610	0.3176847869
611	0.3176480438
612	0.3175354967
613	0.3173880741
614	0.3172655434
615	0.3172101686
616	0.3171075032
617	0.3169442473
618	0.3168827342
619	0.3168827338
620	0.3167820877
621	0.316633467
622	0.3163750433
623	0.316179413
624	0.3158512084
625	0.3156430034
626	0.3156247484
627	0.3154421228
628	0.3153175519
629	0.3152466925
630	0.3151912767
631	0.315103245
632	0.3148990176
633	0.3145815813
634	0.3144795849
635	0.3143322315
636	0.31421677
637	0.3141458062
638	0.3139025645
639	0.3138903739
640	0.3136895654
641	0.3135416714
642	0.3133661337
643	0.3131660227
644	0.3131408542
645	0.313006434
646	0.3127017813
647	0.3124974551
648	0.3124120837
649	0.3123009012
650	0.3122468073
651	0.3120410697
652	0.3119380043
653	0.3117965964
654	0.3116159186
655	0.3116117662
656	0.31160537
657	0.31152521
658	0.3113840629
659	0.3113407184
660	0.3113288194
661	0.3111188245
662	0.3109337394
663	0.3107199366
664	0.3106880567
665	0.3105305045
666	0.3105173841
667	0.3104537297
668	0.3102970697
669	0.3102389886
670	0.3100381439
671	0.3099607373
672	0.3098871224
673	0.3097175348
674	0.3096107705
675	0.309463989
676	0.3091627779
677	0.3090071485
678	0.3089354177
679	0.3087503501
680	0.3086972422
681	0.3084569519
682	0.3083614255
683	0.308214394
684	0.3080246228
685	0.3080246071
686	0.3079495534
687	0.3078728471
688	0.3076222872
689	0.3076208646
690	0.3075306389
691	0.307269542
692	0.3070580292
693	0.3067861709
694	0.306754671
695	0.3066707976
696	0.3066187899
697	0.30657683
698	0.3063075941
699	0.3061131741
700	0.3061118199
701	0.306096668
702	0.3059136595
703	0.3058599694
704	0.3055633455
705	0.3052418346
706	0.3052302147
707	0.3052289007
708	0.3049674228
709	0.3048865436
710	0.3045555707
711	0.3044387438
712	0.3044213926
713	0.3043452548
714	0.3043281899
715	0.3042666885
716	0.3040351983
717	0.3039549804
718	0.303906728
719	0.3037263413
720	0.3035335861
721	0.3034241973
722	0.3033726118
723	0.3032082371
724	0.3030884564
725	0.3029402249
726	0.3028683024
727	0.30273471
728	0.3025959595
729	0.3023796499
730	0.302367634
731	0.3022133591
732	0.302091747
733	0.3019938867
734	0.3019926604
735	0.3016264342
736	0.3015546832
737	0.3014825463
738	0.301397225
739	0.3013544517
740	0.3011138282
741	0.300953616
742	0.300835709
743	0.3007488476
744	0.3004593525
745	0.3003134424
746	0.3002872573
747	0.3002860212
748	0.300137727
749	0.300136516
750	0.2999888584
751	0.2997454317
752	0.2995281243
753	0.2995036103
754	0.2994876721
755	0.2994494152
756	0.2993872476
757	0.2993351353
758	0.2992682831
759	0.2992181659
760	0.2991620335
761	0.299049325
762	0.2988279674
763	0.2987620716
764	0.2986800128
765	0.2985664287
766	0.2985169464
767	0.2985071273
768	0.2983120401
769	0.2981318967
770	0.298128086
771	0.2981235346
772	0.2980778792
773	0.2977765665
774	0.2976578345
775	0.2973633377
776	0.297209864
777	0.2970828175
778	0.2970327212
779	0.296977231
780	0.2968849968
