iter	Passed	Remaining
0	26	26650
1	62	31217
2	109	36332
3	140	34939
4	162	32341
5	191	31661
6	225	31991
7	257	31944
8	290	31959
9	321	31868
10	358	32225
11	381	31423
12	408	31030
13	435	30697
14	469	30816
15	501	30836
16	525	30388
17	556	30349
18	582	30057
19	606	29733
20	639	29819
21	673	29960
22	721	30641
23	744	30282
24	780	30431
25	798	29898
26	834	30078
27	866	30094
28	900	30136
29	955	30893
30	992	31027
31	1037	31371
32	1069	31350
33	1103	31338
34	1136	31344
35	1180	31617
36	1218	31702
37	1242	31442
38	1273	31373
39	1306	31358
40	1330	31122
41	1374	31354
42	1385	30834
43	1394	30307
44	1442	30613
45	1488	30878
46	1524	30919
47	1560	30950
48	1593	30919
49	1629	30965
50	1685	31358
51	1711	31209
52	1750	31283
53	1795	31462
54	1833	31497
55	1868	31498
56	1905	31532
57	1938	31478
58	1966	31361
59	2011	31510
60	2051	31587
61	2078	31450
62	2102	31269
63	2136	31242
64	2165	31149
65	2182	30886
66	2192	30536
67	2206	30247
68	2235	30158
69	2265	30095
70	2301	30113
71	2326	29980
72	2376	30183
73	2400	30042
74	2411	29742
75	2440	29668
76	2478	29703
77	2513	29708
78	2544	29664
79	2566	29519
80	2599	29496
81	2622	29361
82	2651	29295
83	2678	29209
84	2725	29341
85	2760	29336
86	2794	29329
87	2823	29258
88	2863	29306
89	2895	29275
90	2917	29147
91	2956	29180
92	3016	29419
93	3050	29402
94	3084	29380
95	3113	29315
96	3144	29276
97	3175	29231
98	3198	29108
99	3225	29033
100	3258	29007
101	3299	29052
102	3344	29122
103	3383	29146
104	3404	29018
105	3438	28997
106	3468	28947
107	3498	28897
108	3529	28848
109	3561	28811
110	3594	28787
111	3616	28671
112	3644	28609
113	3687	28660
114	3716	28602
115	3743	28526
116	3770	28456
117	3813	28501
118	3860	28583
119	3898	28592
120	3932	28567
121	3956	28470
122	3988	28440
123	4021	28409
124	4057	28402
125	4083	28324
126	4112	28267
127	4144	28237
128	4197	28339
129	4230	28314
130	4253	28219
131	4282	28161
132	4319	28159
133	4358	28167
134	4401	28204
135	4453	28292
136	4493	28308
137	4527	28281
138	4561	28253
139	4594	28224
140	4634	28235
141	4663	28180
142	4696	28144
143	4729	28114
144	4765	28098
145	4797	28061
146	4832	28041
147	4868	28024
148	4913	28065
149	4955	28080
150	4993	28078
151	5020	28008
152	5032	27860
153	5043	27704
154	5084	27717
155	5115	27678
156	5142	27613
157	5181	27610
158	5205	27534
159	5230	27459
160	5262	27425
161	5295	27393
162	5329	27369
163	5355	27299
164	5388	27267
165	5425	27257
166	5465	27262
167	5487	27177
168	5516	27127
169	5545	27072
170	5577	27038
171	5607	26994
172	5641	26967
173	5675	26942
174	5708	26913
175	5735	26850
176	5750	26738
177	5781	26697
178	5814	26666
179	5839	26600
180	5866	26546
181	5897	26507
182	5927	26462
183	5960	26433
184	5993	26402
185	6027	26377
186	6066	26376
187	6099	26346
188	6138	26341
189	6152	26229
190	6180	26178
191	6210	26137
192	6259	26171
193	6296	26159
194	6331	26139
195	6362	26100
196	6402	26097
197	6441	26089
198	6472	26053
199	6505	26022
200	6535	25978
201	6565	25936
202	6594	25889
203	6618	25823
204	6645	25769
205	6693	25799
206	6729	25779
207	6762	25748
208	6780	25663
209	6815	25637
210	6847	25603
211	6879	25572
212	6909	25531
213	6940	25491
214	6972	25456
215	6991	25376
216	7041	25408
217	7076	25386
218	7109	25355
219	7143	25327
220	7172	25282
221	7206	25256
222	7232	25199
223	7263	25163
224	7305	25161
225	7334	25118
226	7366	25086
227	7397	25047
228	7431	25021
229	7463	24987
230	7496	24955
231	7528	24922
232	7559	24884
233	7600	24879
234	7633	24847
235	7666	24819
236	7701	24795
237	7718	24712
238	7749	24676
239	7790	24669
240	7835	24676
241	7879	24679
242	7923	24683
243	7954	24646
244	7985	24609
245	8014	24563
246	8072	24611
247	8114	24604
248	8159	24609
249	8204	24612
250	8234	24572
251	8264	24531
252	8290	24479
253	8317	24429
254	8331	24341
255	8356	24286
256	8386	24246
257	8418	24210
258	8450	24176
259	8479	24132
260	8505	24082
261	8539	24053
262	8556	23977
263	8584	23931
264	8611	23883
265	8640	23841
266	8682	23835
267	8709	23789
268	8753	23787
269	8781	23743
270	8826	23744
271	8857	23706
272	8886	23664
273	8939	23687
274	8972	23654
275	9016	23652
276	9042	23601
277	9070	23556
278	9099	23514
279	9158	23549
280	9185	23504
281	9198	23421
282	9224	23371
283	9254	23330
284	9279	23280
285	9308	23238
286	9337	23197
287	9367	23157
288	9394	23113
289	9434	23099
290	9462	23055
291	9489	23008
292	9519	22969
293	9547	22927
294	9577	22887
295	9601	22837
296	9632	22801
297	9655	22745
298	9682	22701
299	9713	22664
300	9721	22576
301	9731	22491
302	9760	22453
303	9770	22369
304	9795	22321
305	9821	22275
306	9854	22245
307	9884	22207
308	9917	22176
309	9949	22144
310	9979	22109
311	10005	22063
312	10046	22051
313	10104	22076
314	10137	22045
315	10163	21999
316	10190	21956
317	10218	21914
318	10251	21884
319	10285	21857
320	10319	21827
321	10346	21786
322	10373	21743
323	10406	21712
324	10448	21699
325	10475	21657
326	10504	21619
327	10530	21575
328	10563	21544
329	10591	21503
330	10622	21469
331	10649	21428
332	10676	21385
333	10698	21332
334	10730	21300
335	10792	21327
336	10837	21320
337	10896	21342
338	10940	21331
339	10965	21286
340	10992	21244
341	11020	21203
342	11047	21161
343	11074	21118
344	11102	21078
345	11130	21039
346	11166	21013
347	11210	21004
348	11243	20973
349	11285	20958
350	11310	20913
351	11343	20881
352	11369	20838
353	11410	20821
354	11439	20783
355	11463	20737
356	11493	20700
357	11518	20656
358	11553	20629
359	11587	20599
360	11619	20566
361	11650	20533
362	11689	20513
363	11722	20482
364	11763	20464
365	11786	20417
366	11819	20386
367	11840	20334
368	11877	20310
369	11931	20316
370	11962	20281
371	11988	20239
372	12030	20223
373	12088	20232
374	12122	20203
375	12153	20169
376	12183	20134
377	12211	20093
378	12246	20065
379	12282	20040
380	12318	20012
381	12352	19984
382	12384	19950
383	12418	19922
384	12459	19902
385	12471	19838
386	12503	19805
387	12533	19768
388	12559	19726
389	12587	19687
390	12615	19648
391	12624	19580
392	12641	19525
393	12670	19488
394	12713	19472
395	12744	19437
396	12771	19398
397	12799	19359
398	12828	19322
399	12862	19293
400	12890	19255
401	12927	19230
402	12958	19196
403	12985	19156
404	13015	19121
405	13031	19065
406	13068	19040
407	13114	19028
408	13152	19004
409	13184	18973
410	13214	18938
411	13245	18904
412	13280	18874
413	13315	18848
414	13349	18817
415	13385	18791
416	13417	18758
417	13463	18746
418	13498	18717
419	13522	18673
420	13552	18638
421	13587	18609
422	13601	18553
423	13630	18516
424	13664	18487
425	13696	18455
426	13719	18410
427	13761	18392
428	13796	18362
429	13828	18331
430	13876	18319
431	13907	18285
432	13942	18257
433	13976	18227
434	14010	18197
435	14041	18163
436	14091	18153
437	14103	18095
438	14136	18064
439	14170	18035
440	14207	18008
441	14241	17979
442	14276	17949
443	14310	17920
444	14337	17881
445	14368	17847
446	14419	17838
447	14443	17796
448	14459	17744
449	14493	17714
450	14530	17688
451	14557	17649
452	14580	17606
453	14608	17568
454	14625	17518
455	14655	17483
456	14688	17452
457	14700	17396
458	14711	17339
459	14757	17323
460	14787	17289
461	14816	17254
462	14848	17221
463	14898	17210
464	14936	17185
465	14975	17160
466	15008	17129
467	15041	17098
468	15071	17064
469	15099	17027
470	15124	16986
471	15155	16953
472	15187	16921
473	15210	16878
474	15236	16840
475	15259	16798
476	15311	16787
477	15323	16733
478	15355	16702
479	15380	16662
480	15409	16626
481	15432	16584
482	15463	16551
483	15498	16522
484	15544	16505
485	15576	16473
486	15608	16441
487	15637	16407
488	15671	16376
489	15703	16344
490	15737	16314
491	15780	16293
492	15815	16264
493	15827	16211
494	15859	16179
495	15892	16149
496	15906	16098
497	15942	16070
498	15975	16039
499	16006	16006
500	16032	15968
501	16076	15948
502	16090	15898
503	16136	15880
504	16172	15851
505	16206	15822
506	16218	15770
507	16255	15743
508	16290	15714
509	16311	15671
510	16338	15634
511	16368	15601
512	16373	15543
513	16398	15505
514	16422	15466
515	16448	15428
516	16474	15390
517	16501	15354
518	16536	15325
519	16569	15295
520	16599	15261
521	16631	15229
522	16681	15213
523	16706	15175
524	16732	15138
525	16741	15086
526	16784	15064
527	16819	15035
528	16847	15000
529	16875	14964
530	16913	14938
531	16944	14905
532	16981	14879
533	17009	14843
534	17034	14806
535	17063	14771
536	17103	14746
537	17131	14711
538	17173	14688
539	17203	14655
540	17231	14619
541	17260	14585
542	17287	14549
543	17314	14513
544	17340	14476
545	17367	14441
546	17394	14405
547	17418	14367
548	17443	14330
549	17471	14295
550	17508	14267
551	17537	14233
552	17548	14184
553	17576	14149
554	17604	14115
555	17652	14096
556	17677	14059
557	17704	14024
558	17734	13990
559	17752	13948
560	17782	13915
561	17809	13880
562	17836	13844
563	17868	13813
564	17895	13778
565	17927	13746
566	17939	13700
567	17973	13669
568	18003	13637
569	18033	13604
570	18063	13571
571	18090	13536
572	18119	13502
573	18154	13473
574	18172	13431
575	18206	13401
576	18233	13367
577	18262	13333
578	18294	13302
579	18312	13260
580	18338	13225
581	18364	13189
582	18391	13154
583	18419	13120
584	18458	13094
585	18493	13065
586	18524	13033
587	18541	12991
588	18565	12954
589	18598	12924
590	18638	12899
591	18652	12854
592	18680	12820
593	18704	12784
594	18731	12749
595	18764	12719
596	18803	12693
597	18841	12665
598	18868	12631
599	18896	12597
600	18927	12565
601	18959	12534
602	18993	12504
603	19022	12471
604	19052	12439
605	19077	12403
606	19104	12369
607	19145	12343
608	19157	12299
609	19195	12272
610	19221	12237
611	19243	12200
612	19292	12179
613	19325	12149
614	19363	12122
615	19390	12087
616	19426	12058
617	19477	12039
618	19511	12009
619	19524	11966
620	19558	11936
621	19590	11905
622	19636	11882
623	19722	11884
624	19764	11858
625	19793	11825
626	19832	11798
627	19860	11764
628	19886	11729
629	19920	11699
630	19951	11667
631	20014	11653
632	20047	11622
633	20095	11600
634	20135	11574
635	20182	11551
636	20213	11518
637	20239	11483
638	20274	11453
639	20286	11411
640	20318	11379
641	20355	11350
642	20389	11320
643	20424	11290
644	20444	11252
645	20476	11220
646	20505	11187
647	20536	11155
648	20559	11119
649	20599	11091
650	20631	11060
651	20660	11027
652	20690	10994
653	20715	10959
654	20775	10942
655	20794	10904
656	20814	10866
657	20841	10832
658	20895	10812
659	20922	10778
660	20938	10738
661	20970	10706
662	21005	10677
663	21053	10653
664	21082	10620
665	21110	10587
666	21128	10548
667	21154	10513
668	21178	10478
669	21233	10458
670	21264	10426
671	21290	10391
672	21336	10367
673	21368	10335
674	21393	10300
675	21422	10267
676	21447	10232
677	21476	10199
678	21505	10166
679	21541	10137
680	21571	10104
681	21601	10072
682	21625	10037
683	21666	10009
684	21696	9977
685	21710	9937
686	21737	9903
687	21764	9870
688	21805	9842
689	21814	9800
690	21853	9772
691	21881	9739
692	21914	9708
693	21941	9674
694	21988	9649
695	22015	9616
696	22056	9588
697	22086	9556
698	22134	9531
699	22178	9504
700	22189	9464
701	22198	9423
702	22238	9395
703	22268	9362
704	22297	9329
705	22322	9295
706	22353	9263
707	22363	9223
708	22388	9189
709	22415	9155
710	22452	9126
711	22479	9092
712	22505	9059
713	22533	9025
714	22560	8992
715	22590	8960
716	22622	8929
717	22648	8895
718	22676	8862
719	22701	8828
720	22727	8794
721	22758	8762
722	22793	8732
723	22824	8701
724	22855	8669
725	22884	8636
726	22914	8604
727	22944	8572
728	22970	8539
729	22998	8506
730	23016	8469
731	23042	8436
732	23070	8403
733	23098	8370
734	23111	8332
735	23144	8301
736	23173	8269
737	23201	8236
738	23232	8205
739	23264	8174
740	23295	8142
741	23328	8111
742	23397	8093
743	23435	8063
744	23478	8036
745	23520	8008
746	23554	7977
747	23567	7939
748	23597	7907
749	23632	7877
750	23667	7846
751	23706	7818
752	23753	7791
753	23774	7756
754	23809	7726
755	23841	7694
756	23875	7664
757	23905	7632
758	23937	7600
759	23972	7570
760	24007	7539
761	24042	7509
762	24073	7477
763	24102	7445
764	24132	7413
765	24163	7381
766	24193	7349
767	24203	7311
768	24233	7279
769	24272	7250
770	24290	7214
771	24318	7182
772	24349	7150
773	24391	7122
774	24417	7088
775	24442	7055
776	24468	7022
777	24492	6988
778	24537	6961
779	24569	6929
780	24610	6901
781	24637	6868
782	24668	6836
783	24689	6802
784	24723	6771
785	24762	6741
786	24790	6709
787	24819	6677
788	24850	6645
789	24887	6615
790	24915	6583
791	24943	6550
792	24985	6521
793	25017	6490
794	25046	6458
795	25074	6426
796	25108	6395
797	25152	6366
798	25180	6334
799	25214	6303
800	25226	6267
801	25261	6236
802	25285	6203
803	25293	6166
804	25341	6138
805	25365	6105
806	25394	6073
807	25422	6040
808	25453	6009
809	25481	5977
810	25514	5946
811	25543	5914
812	25581	5884
813	25611	5852
814	25643	5820
815	25670	5788
816	25701	5756
817	25727	5724
818	25740	5688
819	25776	5658
820	25806	5626
821	25833	5594
822	25865	5562
823	25912	5534
824	25957	5506
825	25983	5473
826	26010	5441
827	26035	5408
828	26044	5372
829	26068	5339
830	26108	5309
831	26187	5287
832	26220	5256
833	26267	5228
834	26304	5197
835	26345	5168
836	26376	5136
