iter	Accuracy_SumError	Accuracy_SumWeight
0	185	223
1	183	223
2	187	223
3	187	223
4	188	223
5	189	223
6	188	223
7	189	223
8	189	223
9	192	223
10	192	223
11	192	223
12	189	223
13	189	223
14	189	223
15	189	223
16	189	223
17	189	223
18	189	223
19	189	223
20	189	223
21	189	223
22	189	223
23	189	223
24	189	223
25	189	223
26	189	223
27	189	223
28	190	223
29	190	223
30	191	223
31	190	223
32	190	223
33	190	223
34	191	223
35	191	223
36	192	223
37	192	223
38	192	223
39	192	223
40	192	223
41	192	223
42	192	223
43	192	223
44	192	223
45	192	223
46	192	223
47	192	223
48	192	223
49	192	223
50	191	223
51	192	223
52	192	223
53	192	223
54	192	223
55	192	223
56	192	223
57	192	223
58	192	223
59	192	223
60	192	223
61	192	223
62	192	223
63	192	223
64	192	223
65	192	223
66	192	223
67	192	223
68	192	223
69	192	223
70	192	223
71	192	223
72	192	223
73	192	223
74	192	223
75	192	223
76	192	223
77	192	223
78	192	223
79	192	223
80	192	223
81	192	223
82	192	223
83	192	223
84	192	223
85	192	223
86	192	223
87	192	223
88	192	223
89	192	223
90	192	223
91	192	223
92	192	223
93	192	223
94	192	223
95	192	223
96	192	223
97	192	223
98	192	223
99	192	223
100	192	223
101	192	223
102	192	223
103	192	223
104	192	223
105	192	223
106	192	223
107	192	223
108	192	223
109	192	223
110	192	223
111	191	223
112	191	223
113	191	223
114	191	223
115	191	223
116	191	223
117	191	223
118	191	223
119	191	223
120	191	223
121	191	223
122	191	223
123	191	223
124	191	223
125	191	223
126	191	223
127	191	223
128	191	223
129	191	223
130	191	223
131	191	223
132	191	223
133	191	223
134	191	223
135	191	223
136	191	223
137	191	223
138	191	223
139	191	223
140	191	223
141	191	223
142	191	223
143	191	223
144	191	223
145	191	223
146	191	223
147	191	223
148	191	223
149	191	223
150	191	223
151	191	223
152	191	223
153	191	223
154	191	223
155	191	223
156	191	223
157	191	223
158	191	223
159	191	223
160	191	223
161	191	223
162	191	223
163	191	223
164	191	223
165	190	223
166	190	223
167	190	223
168	190	223
169	190	223
170	190	223
171	190	223
172	190	223
173	190	223
174	190	223
175	190	223
176	190	223
177	190	223
178	190	223
179	190	223
180	190	223
181	190	223
182	190	223
183	190	223
184	190	223
185	190	223
186	190	223
