iter	Passed	Remaining
0	14	14093
1	27	13647
2	43	14424
3	53	13265
4	69	13791
5	85	14181
6	93	13332
7	110	13685
8	123	13554
9	133	13191
10	148	13374
11	164	13502
12	176	13402
13	196	13806
14	212	13983
15	228	14057
16	243	14092
17	259	14143
18	274	14165
19	284	13937
20	300	14022
21	312	13869
22	327	13927
23	343	13962
24	359	14003
25	374	14029
26	392	14157
27	409	14211
28	425	14255
29	441	14265
30	448	14032
31	464	14038
32	479	14046
33	490	13924
34	506	13966
35	524	14045
36	540	14056
37	554	14049
38	570	14059
39	586	14068
40	604	14140
41	615	14032
42	630	14042
43	646	14043
44	652	13842
45	667	13843
46	683	13854
47	698	13845
48	714	13864
49	730	13884
50	746	13884
51	761	13880
52	777	13890
53	793	13893
54	800	13745
55	815	13753
56	847	14022
57	863	14031
58	874	13940
59	886	13895
60	902	13894
61	918	13897
62	927	13791
63	932	13641
64	948	13638
65	963	13638
66	979	13637
67	998	13686
68	1014	13685
69	1030	13687
70	1046	13688
71	1062	13688
72	1077	13680
73	1092	13676
74	1101	13580
75	1116	13574
76	1132	13577
77	1148	13577
78	1157	13494
79	1183	13609
80	1208	13712
81	1225	13722
82	1242	13727
83	1259	13732
84	1276	13739
85	1292	13741
86	1310	13752
87	1326	13747
88	1343	13750
89	1362	13777
90	1380	13791
91	1398	13804
92	1423	13883
93	1431	13793
94	1448	13802
95	1468	13833
96	1481	13789
97	1499	13799
98	1517	13815
99	1536	13829
100	1555	13849
101	1574	13863
102	1592	13871
103	1637	14104
104	1653	14097
105	1663	14033
106	1679	14019
107	1689	13950
108	1706	13947
109	1733	14025
110	1751	14030
111	1771	14042
112	1789	14043
113	1807	14046
114	1823	14032
115	1839	14020
116	1847	13940
117	1862	13923
118	1879	13914
119	1895	13898
120	1900	13807
121	1916	13794
122	1932	13778
123	1947	13760
124	1963	13744
125	1980	13740
126	1998	13735
127	2015	13728
128	2032	13721
129	2048	13706
130	2060	13669
131	2076	13656
132	2092	13643
133	2109	13635
134	2125	13617
135	2151	13670
136	2168	13658
137	2223	13891
138	2240	13876
139	2258	13876
140	2276	13869
141	2293	13859
142	2310	13845
143	2326	13832
144	2343	13821
145	2360	13809
146	2377	13797
147	2393	13779
148	2409	13759
149	2424	13737
150	2443	13736
151	2459	13722
152	2492	13799
153	2509	13787
154	2526	13775
155	2532	13704
156	2549	13688
157	2566	13676
158	2584	13668
159	2602	13661
160	2620	13653
161	2637	13641
162	2654	13630
163	2668	13604
164	2686	13597
165	2719	13660
166	2736	13648
167	2753	13635
168	2770	13621
169	2789	13617
170	2823	13687
171	2843	13686
172	2865	13697
173	2889	13718
174	2902	13682
175	2922	13680
176	2940	13670
177	2958	13661
178	2975	13648
179	2992	13633
180	3010	13622
181	3022	13583
182	3039	13569
183	3057	13559
184	3075	13549
185	3093	13537
186	3110	13524
187	3128	13514
188	3146	13499
189	3162	13483
190	3165	13409
191	3183	13395
192	3200	13383
193	3218	13373
194	3237	13363
195	3254	13351
196	3260	13291
197	3279	13283
198	3325	13386
199	3356	13424
200	3374	13412
201	3392	13400
202	3408	13384
203	3426	13369
204	3444	13358
205	3461	13343
206	3482	13342
207	3500	13327
208	3517	13313
209	3523	13255
210	3540	13237
211	3552	13202
212	3568	13185
213	3584	13166
214	3615	13200
215	3631	13180
216	3648	13163
217	3663	13143
218	3682	13131
219	3692	13092
220	3698	13035
221	3713	13013
222	3729	12993
223	3747	12981
224	3763	12962
225	3779	12945
226	3804	12954
227	3832	12976
228	3850	12965
229	3856	12912
230	3874	12898
231	3902	12917
232	3920	12906
233	3938	12893
234	3973	12935
235	3991	12921
236	4019	12940
237	4036	12922
238	4052	12903
239	4069	12885
240	4086	12868
241	4089	12810
242	4108	12799
243	4125	12783
244	4142	12766
245	4159	12748
246	4165	12699
247	4181	12680
248	4199	12664
249	4216	12648
250	4234	12637
251	4251	12620
252	4274	12621
253	4298	12624
254	4314	12605
255	4331	12587
256	4348	12570
257	4365	12556
258	4383	12539
259	4400	12523
260	4417	12508
261	4434	12491
262	4451	12474
263	4468	12457
264	4486	12442
265	4503	12426
266	4521	12412
267	4537	12393
268	4553	12373
269	4568	12352
270	4595	12361
271	4613	12346
272	4644	12369
273	4664	12357
274	4681	12342
275	4701	12331
276	4719	12318
277	4750	12337
278	4768	12323
279	4784	12301
280	4789	12255
281	4805	12234
282	4821	12215
283	4836	12193
284	4854	12177
285	4869	12157
286	4885	12136
287	4933	12196
288	4939	12152
289	4955	12132
290	4971	12113
291	4987	12092
292	5002	12071
293	5018	12051
294	5035	12035
295	5062	12040
296	5079	12022
297	5089	11988
298	5107	11973
299	5123	11955
300	5141	11938
301	5159	11923
302	5175	11906
303	5191	11885
304	5211	11874
305	5230	11862
306	5238	11825
307	5257	11811
308	5275	11797
309	5293	11781
310	5310	11765
311	5328	11750
312	5347	11737
313	5365	11723
314	5383	11707
315	5402	11694
316	5420	11679
317	5438	11663
318	5456	11648
319	5471	11626
320	5489	11611
321	5507	11596
322	5524	11580
323	5543	11565
324	5560	11549
325	5578	11532
326	5596	11518
327	5613	11500
328	5631	11486
329	5648	11468
330	5658	11435
331	5674	11417
332	5680	11378
333	5696	11359
334	5713	11340
335	5729	11321
336	5736	11285
337	5752	11266
338	5769	11249
339	5786	11231
340	5802	11214
341	5828	11213
342	5867	11239
343	5885	11223
344	5902	11205
345	5919	11188
346	5936	11170
347	5953	11153
348	5969	11135
349	5978	11102
350	5993	11081
351	6008	11061
352	6024	11041
353	6032	11008
354	6048	10988
355	6063	10968
356	6078	10948
357	6094	10929
358	6110	10909
359	6126	10890
360	6143	10874
361	6163	10862
362	6180	10845
363	6196	10826
364	6212	10807
365	6229	10790
366	6245	10772
367	6262	10755
368	6295	10765
369	6313	10749
370	6330	10732
371	6349	10719
372	6367	10703
373	6373	10667
374	6386	10643
375	6404	10628
376	6410	10594
377	6428	10577
378	6445	10560
379	6464	10547
380	6484	10534
381	6501	10518
382	6519	10502
383	6536	10484
384	6554	10469
385	6571	10453
386	6589	10438
387	6607	10422
388	6634	10420
389	6640	10385
390	6656	10368
391	6668	10342
392	6685	10326
393	6703	10310
394	6722	10296
395	6740	10280
396	6757	10264
397	6773	10245
398	6789	10226
399	6805	10207
400	6820	10188
401	6837	10170
402	6848	10145
403	6863	10125
404	6873	10098
405	6888	10078
406	6905	10061
407	6921	10043
408	6937	10024
409	6955	10009
410	6971	9991
411	6985	9969
412	7003	9953
413	7022	9940
414	7033	9914
415	7051	9898
416	7068	9883
417	7088	9869
418	7105	9852
419	7146	9868
420	7164	9853
421	7182	9838
422	7200	9822
423	7206	9790
424	7224	9773
425	7241	9757
426	7261	9744
427	7279	9728
428	7297	9712
429	7315	9696
430	7332	9680
431	7350	9664
432	7368	9649
433	7386	9633
434	7404	9617
435	7425	9605
436	7442	9588
437	7460	9572
438	7479	9558
439	7497	9542
440	7515	9526
441	7542	9522
442	7561	9506
443	7567	9475
444	7594	9471
445	7611	9454
446	7630	9439
447	7647	9423
448	7664	9406
449	7683	9390
450	7701	9375
451	7720	9359
452	7736	9341
453	7753	9324
454	7770	9307
455	7788	9291
456	7802	9270
457	7819	9253
458	7835	9235
459	7852	9218
460	7887	9222
461	7905	9205
462	7922	9188
463	7940	9173
464	7955	9152
465	7972	9136
466	7991	9120
467	8008	9103
468	8042	9106
469	8060	9089
470	8077	9072
471	8095	9056
472	8114	9041
473	8142	9036
474	8160	9019
475	8177	9002
476	8196	8986
477	8214	8970
478	8232	8954
479	8250	8937
480	8268	8922
481	8286	8905
482	8304	8888
483	8321	8872
484	8340	8856
485	8358	8839
486	8384	8831
487	8401	8814
488	8419	8797
489	8436	8780
490	8454	8764
491	8461	8736
492	8478	8719
493	8496	8702
494	8512	8684
495	8528	8666
496	8546	8649
497	8564	8633
498	8580	8615
499	8598	8598
500	8614	8580
501	8630	8561
502	8645	8542
503	8663	8525
504	8681	8509
505	8699	8492
506	8716	8476
507	8733	8458
508	8752	8442
509	8770	8426
510	8777	8399
511	8795	8382
512	8801	8355
513	8819	8338
514	8836	8322
515	8854	8305
516	8872	8288
517	8880	8262
518	8898	8246
519	8916	8230
520	8923	8203
521	8936	8183
522	8943	8156
523	8960	8139
524	8977	8122
525	8997	8107
526	9015	8091
527	9033	8075
528	9050	8058
529	9079	8051
530	9098	8035
531	9140	8041
532	9158	8024
533	9175	8007
534	9192	7990
535	9211	7974
536	9245	7971
537	9263	7954
538	9278	7935
539	9296	7919
540	9303	7893
541	9321	7876
542	9339	7860
543	9356	7842
544	9372	7825
545	9390	7808
546	9408	7791
547	9427	7775
548	9436	7751
549	9452	7733
550	9468	7715
551	9494	7705
552	9511	7688
553	9527	7669
554	9542	7651
555	9560	7634
556	9575	7615
557	9581	7589
558	9597	7571
559	9615	7555
560	9619	7527
561	9637	7511
562	9656	7495
563	9673	7477
564	9690	7461
565	9709	7445
566	9727	7428
567	9766	7428
568	9783	7410
569	9799	7392
570	9817	7376
571	9835	7359
572	9846	7337
573	9863	7320
574	9881	7304
575	9899	7286
576	9917	7270
577	9948	7263
578	9965	7246
579	9983	7229
580	10000	7212
581	10020	7196
582	10036	7178
583	10054	7161
584	10077	7149
585	10095	7132
586	10112	7115
587	10130	7098
588	10148	7081
589	10165	7064
590	10182	7046
591	10199	7029
592	10218	7013
593	10235	6995
594	10251	6978
595	10268	6960
596	10283	6942
597	10299	6923
598	10302	6896
599	10317	6878
